reef_siteid,UNIQUE_ID,Reef,habitat,k,area,rubble,sand,rock,coral_algae,na_proportion,depth_mean,depth_sd,depth_med,site_id,zone_type,lats,longs
Moore_MR_C_1,16071100104.0,Moore,Crest,83.6398678414097,129437.48085331544,0.0,0.14684287812041116,58.95741556534508,40.89574155653451,0.0,1.2861515377118038,0.5983788946287883,1.1119999885559082,L_1,Green,146.24849943349383,-16.861580695111922
Moore_MR_C_2,16071100104.0,Moore,Crest,79.65217391304347,76901.33963279286,0.0,0.12422360248447205,73.54037267080746,26.335403726708076,0.0,1.3420182304301609,0.4359119968779769,1.2389999628067017,L_2,Green,146.24265210518993,-16.85538011477484
Moore_MR_C_3,16071100104.0,Moore,Crest,83.52803738317758,111941.78706551343,0.0,0.0,59.89804587935429,40.10195412064571,0.0,1.347429340555331,0.4366932289537697,1.240500032901764,L_3,Green,146.25147681931173,-16.86725462567553
Moore_MR_C_4,16071100104.0,Moore,Crest,76.3957055214724,78184.30865436653,0.49079754601226994,0.0,84.04907975460122,15.460122699386503,0.0,1.3078015355080863,0.5304163292169496,1.1820000410079956,L_4,Green,146.24751583362695,-16.878249145351198
Moore_MR_C_5,16071100104.0,Moore,Crest,77.40310077519379,98454.09477984346,0.0,0.0,82.17054263565892,17.829457364341085,0.0,1.5935835923904027,0.7393863634449052,1.3860000371932983,L_5,Green,146.23400400858424,-16.8481907917145
Moore_MR_C_6,16071100104.0,Moore,Crest,81.51556776556777,52201.226116100326,0.0,0.0,67.21611721611721,32.78388278388278,0.0,1.3699790084635028,0.5302915398788806,1.1740000247955322,L_6,Green,146.23964878434668,-16.851750961675933
Moore_MR_C_7,16071100104.0,Moore,Crest,79.17170953101363,62855.21237831516,0.0,0.15128593040847202,75.18910741301059,24.659606656580937,0.0,1.2166107579877106,0.48360275624775545,1.0864999890327454,L_7,Green,146.25022692968116,-16.872604612703537
Moore_MR_OF_1,16071100104.0,Moore,Outer Flat,86.07006125574273,124458.66966792708,1.5313935681470139,1.3016845329249618,40.35222052067381,56.81470137825421,0.0,1.9987269806041061,0.4889715445858387,1.8309999704360962,L_8,Green,146.19497971807542,-16.89195170561482
Moore_MR_OF_10,16071100104.0,Moore,Outer Flat,76.28968253968254,24079.841552573256,1.1904761904761905,21.428571428571427,3.9682539682539684,73.41269841269842,0.0,2.092859504636654,0.14426699922464453,2.0644999742507935,L_9,Green,146.21245664004198,-16.888514896554454
Moore_MR_OF_11,16071100104.0,Moore,Outer Flat,75.81218274111676,111959.48772720806,2.1996615905245345,17.42808798646362,16.58206429780034,63.790186125211505,0.0,2.3347898038214137,0.6076558686984379,2.1740000247955322,L_10,Green,146.21808757322626,-16.888537357130705
Moore_MR_OF_12,16071100104.0,Moore,Outer Flat,83.17510548523207,22512.65185918659,0.0,0.0,61.18143459915612,38.81856540084388,0.0,0.9334017457399827,0.02944925732892654,0.9359999895095825,L_11,Green,146.25014403767574,-16.865681450025665
Moore_MR_OF_2,16071100104.0,Moore,Outer Flat,86.51524777636595,74701.63197803684,0.3811944091486658,1.3977128335451081,42.566709021601014,55.65438373570521,0.0,1.670757737487033,0.5100790029162927,1.5290000438690186,L_5,Green,146.2334724226487,-16.8495983200663
Moore_MR_OF_3,16071100104.0,Moore,Outer Flat,85.87729357798166,124114.03316707956,3.5168195718654434,0.5351681957186545,36.620795107033636,59.32721712538226,0.0,1.2281459848859497,0.2167678757630305,1.2020000219345093,L_12,Green,146.24451512150944,-16.859011310037918
Moore_MR_OF_4,16071100104.0,Moore,Outer Flat,89.18831168831169,80338.79890576331,0.0,0.0,39.315230224321134,60.684769775678866,0.0,1.099037267850793,0.1775348141331865,1.024999976158142,L_13,Green,146.24079306621488,-16.85514722701283
Moore_MR_OF_5,16071100104.0,Moore,Outer Flat,84.16856492027335,41584.86461727973,0.0,14.578587699316628,4.555808656036446,80.86560364464692,0.0,2.392093744988625,0.20560288996388149,2.36299991607666,L_14,Green,146.1989976225211,-16.88254849048735
Moore_MR_OF_6,16071100104.0,Moore,Outer Flat,80.58024691358024,38441.346766835544,0.0,0.0,70.61728395061728,29.382716049382715,0.0,2.318244789416591,0.7127920933098647,2.128499984741211,L_15,Green,146.2281359554441,-16.846242488651296
Moore_MR_OF_7,16071100104.0,Moore,Outer Flat,85.90292275574113,136971.89531025803,0.0,0.06958942240779402,51.00904662491301,48.921363952679194,0.0,0.872552957780349,0.08557486298901082,0.8629999756813049,L_16,Green,146.24835147344555,-16.874922957279853
Moore_MR_OF_8,16071100104.0,Moore,Outer Flat,85.36505681818181,167229.85133617045,0.3977272727272727,5.284090909090909,32.55681818181818,61.76136363636363,0.0,1.591397848999486,0.6099545405248751,1.340999960899353,L_17,Green,146.23719380444564,-16.85205430639599
